cluster_id	cov
0	2359.856
1	237.718
2	115.834
3	98.717
4	304.025
5	7748.272
7	192.402
9	151.697
10	225.955
11	5019.235
12	416.753666666667
13	130.605
14	725.866
15	125.644
17	137.802
18	114.33
19	337.604
21	338.561
22	245.609
23	135.815130833828
24	148.7435
25	331.741
26	125.188
27	464.987
29	571.4925
30	257.681
31	175.176
32	116.709
33	741.84375
34	134.526
35	241.81
36	2764.16085714286
37	130.866
38	212.645
39	479.401
40	123.992
41	298.142
42	500.917
43	149.405
44	264.885
45	133.147
46	1036.073
47	119.01
48	169.7785
49	608.027
50	206.3535
51	115.2265
52	129.061
53	133.725
54	661.66
55	141.949
56	273.947
57	189.3134
58	1365.827
59	225.487
60	706.963
61	566.658
62	126.0085
63	118.012
NA	94.8628533333333
